date,value
1/02/2018,30
2/02/2018,15
3/02/2018,40
4/02/2018,24
5/02/2018,11
6/02/2018,8
7/02/2018,36
8/02/2018,30
9/02/2018,44
10/02/2018,54
11/02/2018,31
12/02/2018,42
13/02/2018,35
14/02/2018,55
15/02/2018,71
16/02/2018,67
17/02/2018,74
18/02/2018,63
19/02/2018,67
20/02/2018,74
21/02/2018,54
22/02/2018,44
23/02/2018,39
24/02/2018,31
25/02/2018,33
26/02/2018,37
27/02/2018,44
28/02/2018,41
1/03/2018,38
2/03/2018,47
3/03/2018,56
4/03/2018,44
5/03/2018,55
6/03/2018,59
7/03/2018,37
8/03/2018,39
9/03/2018,37
10/03/2018,39
11/03/2018,40
12/03/2018,41
13/03/2018,41
14/03/2018,40
15/03/2018,32
16/03/2018,33
17/03/2018,31
18/03/2018,29
19/03/2018,29
20/03/2018,37
21/03/2018,36
22/03/2018,36
23/03/2018,28
24/03/2018,32
25/03/2018,30
26/03/2018,31
27/03/2018,24
28/03/2018,24
29/03/2018,18
30/03/2018,12
31/03/2018,16
1/04/2018,16
2/04/2018,11
3/04/2018,22
4/04/2018,22
5/04/2018,17
6/04/2018,19
7/04/2018,20
8/04/2018,17
9/04/2018,21
10/04/2018,18
11/04/2018,20
12/04/2018,18
13/04/2018,23
17/04/2018,26
18/04/2018,24
19/04/2018,25
20/04/2018,26
21/04/2018,32
22/04/2018,31
23/04/2018,28
24/04/2018,29
25/04/2018,64
26/04/2018,47
27/04/2018,55
28/04/2018,54
29/04/2018,61
30/04/2018,59
1/05/2018,56
2/05/2018,52
3/05/2018,55
4/05/2018,56
5/05/2018,63
6/05/2018,67
7/05/2018,56
8/05/2018,62
9/05/2018,53
10/05/2018,63
11/05/2018,41
12/05/2018,44
13/05/2018,40
14/05/2018,40
15/05/2018,40
16/05/2018,32
17/05/2018,31
18/05/2018,37
19/05/2018,31
20/05/2018,32
21/05/2018,41
22/05/2018,30
23/05/2018,26
24/05/2018,27
25/05/2018,25
26/05/2018,23
27/05/2018,19
28/05/2018,22
29/05/2018,16
30/05/2018,38
31/05/2018,25
1/06/2018,24
2/06/2018,27
3/06/2018,40
4/06/2018,41
5/06/2018,26
6/06/2018,42
7/06/2018,38
8/06/2018,40
9/06/2018,39
10/06/2018,24
11/06/2018,15
12/06/2018,19
13/06/2018,19
14/06/2018,17
15/06/2018,26
16/06/2018,22
17/06/2018,23
18/06/2018,27
19/06/2018,32
20/06/2018,34
21/06/2018,37
22/06/2018,28
23/06/2018,17
24/06/2018,15
25/06/2018,16
26/06/2018,21
27/06/2018,18
28/06/2018,20
29/06/2018,16
30/06/2018,22
1/07/2018,27
2/07/2018,27
3/07/2018,31
4/07/2018,33
5/07/2018,37
6/07/2018,34
7/07/2018,34
8/07/2018,38
9/07/2018,39
10/07/2018,37
11/07/2018,29
12/07/2018,33
13/07/2018,29
14/07/2018,29
15/07/2018,32
16/07/2018,36
17/07/2018,39
18/07/2018,42
19/07/2018,44
20/07/2018,47
21/07/2018,43
22/07/2018,46
23/07/2018,44
24/07/2018,49
25/07/2018,54
26/07/2018,53
27/07/2018,47
28/07/2018,54
29/07/2018,54
30/07/2018,53
31/07/2018,48
1/08/2018,39
2/08/2018,39
3/08/2018,36
4/08/2018,31
5/08/2018,23
6/08/2018,25
7/08/2018,25
8/08/2018,23
9/08/2018,19
10/08/2018,21
11/08/2018,18
12/08/2018,18
13/08/2018,21
14/08/2018,16
15/08/2018,18
16/08/2018,21
17/08/2018,19
18/08/2018,24
19/08/2018,27
20/08/2018,26
21/08/2018,19
22/08/2018,21
23/08/2018,18
24/08/2018,19
25/08/2018,22
26/08/2018,19
27/08/2018,18
28/08/2018,19
29/08/2018,19
30/08/2018,22
31/08/2018,17
1/09/2018,21
2/09/2018,18
3/09/2018,19
4/09/2018,26
5/09/2018,17
6/09/2018,14
7/09/2018,17
8/09/2018,18
9/09/2018,13
10/09/2018,15
11/09/2018,18
12/09/2018,14
13/09/2018,20
14/09/2018,23
15/09/2018,24
16/09/2018,28
17/09/2018,25
18/09/2018,21
19/09/2018,24
20/09/2018,24
21/09/2018,31
22/09/2018,35
23/09/2018,38
24/09/2018,43
25/09/2018,37
26/09/2018,37
27/09/2018,42
28/09/2018,42
29/09/2018,37
30/09/2018,34
1/10/2018,35
2/10/2018,33
3/10/2018,36
4/10/2018,29
5/10/2018,37
6/10/2018,34
7/10/2018,29
8/10/2018,26
9/10/2018,31
10/10/2018,28
11/10/2018,19
12/10/2018,13
13/10/2018,15
14/10/2018,18
15/10/2018,20
16/10/2018,24
17/10/2018,23
18/10/2018,26
19/10/2018,24
20/10/2018,21
21/10/2018,21
22/10/2018,27
23/10/2018,24
24/10/2018,23
25/10/2018,25
26/10/2018,29
27/10/2018,33
28/10/2018,35
29/10/2018,34
30/10/2018,31
31/10/2018,32
1/11/2018,29
2/11/2018,36
3/11/2018,36
4/11/2018,41
5/11/2018,42
6/11/2018,42
7/11/2018,48
8/11/2018,51
9/11/2018,47
10/11/2018,52
11/11/2018,54
12/11/2018,52
13/11/2018,56
14/11/2018,49
15/11/2018,28
16/11/2018,23
17/11/2018,24
18/11/2018,26
19/11/2018,28
20/11/2018,21
21/11/2018,15
22/11/2018,14
23/11/2018,12
24/11/2018,15
25/11/2018,9
26/11/2018,17
27/11/2018,11
28/11/2018,14
29/11/2018,18
30/11/2018,19
1/12/2018,13
2/12/2018,15
3/12/2018,17
4/12/2018,12
5/12/2018,19
6/12/2018,13
7/12/2018,11
8/12/2018,11
9/12/2018,14
10/12/2018,19
11/12/2018,15
12/12/2018,14
13/12/2018,14
14/12/2018,10
15/12/2018,11
16/12/2018,13
17/12/2018,17
18/12/2018,23
19/12/2018,21
20/12/2018,27
21/12/2018,35
22/12/2018,28
23/12/2018,31
24/12/2018,25
25/12/2018,33
26/12/2018,26
27/12/2018,29
28/12/2018,21
29/12/2018,24
30/12/2018,23
31/12/2018,26
1/01/2019,24
2/01/2019,30
3/01/2019,33
4/01/2019,48
5/01/2019,36
6/01/2019,31
7/01/2019,39
8/01/2019,39
9/01/2019,42
10/01/2019,37
11/01/2019,19
12/01/2019,22
13/01/2019,21
14/01/2019,16
15/01/2019,27
16/01/2019,24
17/01/2019,28
18/01/2019,29
19/01/2019,31
20/01/2019,35
21/01/2019,30
22/01/2019,27
23/01/2019,33
24/01/2019,37
25/01/2019,35
26/01/2019,41
27/01/2019,39
28/01/2019,35
29/01/2019,21
30/01/2019,22
31/01/2019,17
1/02/2019,23
2/02/2019,22
3/02/2019,19
4/02/2019,27
5/02/2019,21
6/02/2019,14
7/02/2019,18
8/02/2019,37
9/02/2019,42
10/02/2019,40
11/02/2019,46
12/02/2019,38
13/02/2019,48
14/02/2019,48
15/02/2019,43
16/02/2019,43
17/02/2019,38
18/02/2019,63
19/02/2019,65
20/02/2019,59
21/02/2019,59
22/02/2019,61
23/02/2019,63
24/02/2019,69
25/02/2019,47
26/02/2019,40
27/02/2019,39
28/02/2019,39
1/03/2019,42
2/03/2019,41
3/03/2019,44
4/03/2019,36
5/03/2019,35
6/03/2019,42
7/03/2019,56
8/03/2019,54
9/03/2019,55
10/03/2019,55
11/03/2019,56
12/03/2019,56
13/03/2019,54
14/03/2019,55
15/03/2019,55
16/03/2019,54
17/03/2019,58
18/03/2019,56
19/03/2019,56
20/03/2019,55
21/03/2019,62
22/03/2019,56
23/03/2019,50
24/03/2019,44
25/03/2019,46
26/03/2019,43
27/03/2019,44
28/03/2019,49
29/03/2019,50
30/03/2019,57
31/03/2019,56
1/04/2019,62
2/04/2019,60
3/04/2019,71
4/04/2019,61
5/04/2019,59
6/04/2019,65
7/04/2019,69
8/04/2019,65
9/04/2019,64
10/04/2019,62
11/04/2019,65
12/04/2019,42
13/04/2019,62
14/04/2019,51
15/04/2019,60
16/04/2019,50
17/04/2019,61
18/04/2019,64
19/04/2019,61
20/04/2019,62
21/04/2019,62
22/04/2019,61
23/04/2019,68
24/04/2019,65
25/04/2019,58
26/04/2019,41
27/04/2019,42
28/04/2019,40
29/04/2019,42
30/04/2019,42
1/05/2019,51
2/05/2019,50
3/05/2019,63
4/05/2019,66
5/05/2019,67
6/05/2019,57
7/05/2019,69
8/05/2019,63
9/05/2019,69
10/05/2019,71
11/05/2019,76
12/05/2019,75
13/05/2019,78
14/05/2019,78
15/05/2019,77
16/05/2019,75
17/05/2019,65
18/05/2019,67
19/05/2019,70
20/05/2019,73
21/05/2019,68
22/05/2019,69
23/05/2019,65
24/05/2019,64
25/05/2019,69
26/05/2019,67
27/05/2019,70
28/05/2019,71
29/05/2019,71
30/05/2019,73
31/05/2019,61
1/06/2019,62
2/06/2019,63
3/06/2019,66
4/06/2019,42
5/06/2019,27
6/06/2019,34
7/06/2019,27
8/06/2019,62
9/06/2019,62
10/06/2019,46
11/06/2019,61
12/06/2019,60
13/06/2019,63
14/06/2019,67
15/06/2019,75
16/06/2019,80
17/06/2019,84
18/06/2019,83
19/06/2019,82
20/06/2019,81
21/06/2019,84
22/06/2019,83
23/06/2019,84
24/06/2019,80
25/06/2019,87
26/06/2019,95
27/06/2019,92
28/06/2019,62
29/06/2019,74
30/06/2019,78
1/07/2019,65
2/07/2019,63
3/07/2019,79
4/07/2019,76
5/07/2019,67
6/07/2019,72
7/07/2019,67
8/07/2019,74
9/07/2019,84
10/07/2019,83
11/07/2019,62
12/07/2019,33
13/07/2019,65
14/07/2019,61
15/07/2019,16
16/07/2019,34
17/07/2019,19
18/07/2019,40
19/07/2019,42
20/07/2019,34
21/07/2019,42
22/07/2019,42
23/07/2019,40
24/07/2019,20
25/07/2019,42
26/07/2019,24
27/07/2019,47
28/07/2019,16
29/07/2019,19
30/07/2019,22
31/07/2019,31
1/08/2019,57
2/08/2019,61
3/08/2019,61
4/08/2019,62
5/08/2019,64
6/08/2019,66
7/08/2019,45
8/08/2019,61
9/08/2019,60
10/08/2019,59
11/08/2019,45
12/08/2019,48
13/08/2019,45
14/08/2019,11
15/08/2019,13
16/08/2019,31
17/08/2019,20
18/08/2019,14
19/08/2019,30
20/08/2019,39
21/08/2019,11
22/08/2019,5
23/08/2019,33
24/08/2019,39
25/08/2019,33
26/08/2019,41
27/08/2019,30
28/08/2019,32
29/08/2019,20
30/08/2019,24
31/08/2019,20
1/09/2019,24
2/09/2019,28
3/09/2019,41
4/09/2019,43
5/09/2019,41
6/09/2019,43
7/09/2019,39
8/09/2019,43
9/09/2019,41
10/09/2019,41
11/09/2019,38
12/09/2019,39
13/09/2019,38
14/09/2019,39
15/09/2019,38
16/09/2019,38
17/09/2019,41
18/09/2019,38
19/09/2019,31
20/09/2019,41
21/09/2019,37
22/09/2019,37
23/09/2019,41
24/09/2019,39
25/09/2019,15
26/09/2019,12
27/09/2019,24
28/09/2019,32
29/09/2019,33
30/09/2019,27
1/10/2019,38
2/10/2019,39
3/10/2019,37
4/10/2019,30
5/10/2019,31
6/10/2019,32
7/10/2019,27
8/10/2019,39
9/10/2019,37
10/10/2019,41
11/10/2019,39
12/10/2019,38
13/10/2019,38
14/10/2019,37
15/10/2019,39
16/10/2019,40
17/10/2019,40
18/10/2019,40
19/10/2019,41
20/10/2019,37
21/10/2019,37
22/10/2019,39
23/10/2019,33
24/10/2019,20
25/10/2019,24
26/10/2019,53
27/10/2019,50
28/10/2019,52
29/10/2019,54
30/10/2019,53
31/10/2019,50
1/11/2019,49
2/11/2019,51
3/11/2019,56
4/11/2019,49
5/11/2019,54
6/11/2019,53
7/11/2019,54
8/11/2019,42
9/11/2019,38
10/11/2019,39
11/11/2019,40
12/11/2019,39
13/11/2019,38
14/11/2019,41
15/11/2019,38
16/11/2019,41
17/11/2019,38
18/11/2019,38
19/11/2019,32
20/11/2019,32
21/11/2019,30
22/11/2019,20
23/11/2019,23
24/11/2019,21
25/11/2019,17
26/11/2019,21
27/11/2019,20
28/11/2019,32
29/11/2019,31
30/11/2019,38
1/12/2019,25
2/12/2019,28
3/12/2019,28
4/12/2019,24
5/12/2019,21
6/12/2019,29
7/12/2019,32
8/12/2019,28
9/12/2019,32
10/12/2019,26
11/12/2019,20
12/12/2019,23
13/12/2019,22
14/12/2019,27
15/12/2019,21
16/12/2019,24
17/12/2019,23
18/12/2019,15
19/12/2019,21
20/12/2019,23
21/12/2019,23
22/12/2019,20
23/12/2019,33
24/12/2019,25
25/12/2019,22
26/12/2019,39
27/12/2019,38
28/12/2019,37
29/12/2019,37
30/12/2019,40
31/12/2019,38
1/01/2020,37
2/01/2020,39
3/01/2020,38
4/01/2020,38
5/01/2020,39
6/01/2020,41
7/01/2020,40
8/01/2020,51
9/01/2020,44
10/01/2020,41
11/01/2020,50
12/01/2020,45
13/01/2020,49
14/01/2020,56
15/01/2020,54
16/01/2020,55
17/01/2020,54
18/01/2020,51
19/01/2020,53
20/01/2020,48
21/01/2020,49
22/01/2020,52
23/01/2020,49
24/01/2020,40
25/01/2020,41
26/01/2020,42
27/01/2020,50
28/01/2020,54
29/01/2020,57
30/01/2020,57
31/01/2020,55
1/02/2020,57
2/02/2020,57
3/02/2020,59
4/02/2020,56
5/02/2020,53
6/02/2020,61
7/02/2020,56
8/02/2020,56
9/02/2020,56
10/02/2020,57
11/02/2020,52
12/02/2020,61
13/02/2020,65
14/02/2020,63
15/02/2020,64
16/02/2020,59
17/02/2020,49
18/02/2020,53
19/02/2020,50
20/02/2020,44
21/02/2020,44
22/02/2020,43
23/02/2020,46
24/02/2020,46
25/02/2020,44
26/02/2020,41
27/02/2020,39
28/02/2020,40
29/02/2020,38
1/03/2020,39
2/03/2020,38
3/03/2020,38
4/03/2020,40
5/03/2020,41
6/03/2020,39
7/03/2020,38
8/03/2020,33
9/03/2020,17
10/03/2020,16
11/03/2020,17
12/03/2020,14
13/03/2020,10
14/03/2020,8
15/03/2020,12
16/03/2020,9
17/03/2020,8
18/03/2020,11
19/03/2020,12
20/03/2020,9
21/03/2020,9
22/03/2020,11
23/03/2020,10
24/03/2020,12
25/03/2020,13
26/03/2020,14
27/03/2020,12
28/03/2020,8
29/03/2020,12
30/03/2020,10
31/03/2020,12
1/04/2020,12
2/04/2020,14
3/04/2020,14
4/04/2020,12
5/04/2020,12
6/04/2020,12
7/04/2020,20
8/04/2020,21
9/04/2020,22
10/04/2020,15
11/04/2020,15
12/04/2020,10
13/04/2020,11
14/04/2020,15
15/04/2020,18
16/04/2020,13
17/04/2020,15
18/04/2020,18
19/04/2020,16
20/04/2020,15
21/04/2020,17
22/04/2020,19
23/04/2020,19
24/04/2020,20
25/04/2020,24
26/04/2020,21
27/04/2020,28
28/04/2020,26
29/04/2020,26
30/04/2020,44
1/05/2020,40
2/05/2020,40
3/05/2020,45
4/05/2020,44
5/05/2020,40
6/05/2020,42
7/05/2020,49
8/05/2020,55
9/05/2020,56
10/05/2020,48
11/05/2020,40
12/05/2020,39
13/05/2020,41
14/05/2020,40
15/05/2020,44
16/05/2020,41
17/05/2020,40
18/05/2020,50
19/05/2020,50
20/05/2020,52
21/05/2020,49
22/05/2020,42
23/05/2020,40
24/05/2020,43
25/05/2020,41
26/05/2020,39
27/05/2020,39
28/05/2020,41
29/05/2020,48
30/05/2020,48
31/05/2020,51
1/06/2020,50
2/06/2020,56
3/06/2020,48
4/06/2020,54
5/06/2020,53
6/06/2020,54
7/06/2020,54
8/06/2020,53
9/06/2020,52
10/06/2020,54
11/06/2020,52
12/06/2020,38
13/06/2020,38
14/06/2020,40
15/06/2020,37
16/06/2020,39
17/06/2020,38
18/06/2020,40
